"name","version","date","size"
"dplyr","0.1.1",2014-01-29,530
"dplyr","0.1.2",2014-02-24,533
"dplyr","0.1.3",2014-03-15,535
"dplyr","0.1",2014-01-16,2700
"dplyr","0.2",2014-05-21,577
"dplyr","0.3.0.1",2014-10-08,629
"dplyr","0.3.0.2",2014-10-11,628
"dplyr","0.3",2014-10-04,629
"dplyr","0.4.0",2015-01-08,870
"dplyr","0.4.1",2015-01-14,870
"dplyr","0.4.2",2015-06-16,628
"dplyr","0.4.3",2015-09-01,641
"dplyr","0.5.0",2016-06-24,692
"dplyr","0.7.0",2017-06-09,675
"dplyr","0.7.1",2017-06-22,676
"dplyr","0.7.2",2017-07-21,677
"dplyr","0.7.3",2017-09-09,789
